FRESATITAN      EQUIP: REF 040  Fressadora FANUC 2         DATA: 2025            229AG695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;incidències 1;incidències 2;TOTAL US;TOTAL  INCIDÈNCIES
06/05/2025;13:30;Gerard;Gerard;16:30;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
07/05/2025;16:00;Gerard;Gerard;12:30;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
08/05/2025;11:45;Gerard;Gerard;12:45;Gerard;OK;12:45;Toni;Gerard;14:00;Gerard;OK;;;;;;;;;;;;;;;;;;;;;1;
09/05/2025;10:45;Gerard;Gerard;12:00;Gerard;OK;13:00;Gerard;Gerard;13:30;Gerard;OK;13:30;Gerard;Gerard;14:25;Gerard;OK;;;;;;;;;;;;;;;3;
12/05/2025;11:15;Gerard;Gerard;13:00;Gerard;OK;13:00;Gerard;Gerard;14:15;Gerard;OK;;;;;;;;;;;;;;;;;;;;;3;
13/05/2025;12:22;Gerard;Gerard;13:15;Gerard;OK;13:45;Gerard;Gerard;17:15;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
14/05/2025;10:30;Toni;Gerard;11:15;Gerard;OK;11:20;Gerard;Gerard;12:30;Gerard;OK;13:18;Gerard;Gerard;14:30;Gerard;OK;14:30;Gerard;Gerard;14:45;Gerard;OK;16:30;Gerard;Gerard;18:00;Gerard;OK;;;5;
16/05/2025;12:00;Gerard;Gerard;13:00;Gerard;OK;13:30;Gerard;Gerard;15:00;Gerard;OK;15:15;Gerard;Gerard;16:45;Gerard;OK;;;;;;;;;;;;;;;3;
20/05/2025;11:30;Gerard;Gerard;13:15;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
21/05/2025;11:30;Gerard;Gerard;13:30;Gerard;OK;13:30;Gerard;Gerard;15:30;Gerard;OK;15:30;Gerard;Gerard;17:00;Gerard;OK;;;;;;;;;;;;;;;3;
22/05/2025;13:30;Gerard;Gerard;14:30;Gerard;OK;14:30;Gerard;Gerard;16:00;Gerard;OK;17:00;Gerard;Gerard;17:30;Gerard;OK;17:30;Gerard;Gerard;????;????;OK;;;;;;;;;4;
23/05/2025;12:30;Gerard;Gerard;14:00;Gerard;OK;14:15;Gerard;Gerard;15:15;Gerard;OK;15:15;Gerard;Gerard;16:15;Gerard;OK;16:15;Gerard;Gerard;16:30;Gerard;OK;;;;;;;;;4;
